index,shape-type,vertex-index,axis-0,axis-1
1,path,44,173.94590707952693,262.5381757982242
1,path,45,174.51024562151315,266.7707148631208
1,path,46,173.38156853754072,271.56759247000366
1,path,47,176.48543051846494,271.84976174099677
1,path,48,177.04976906045115,281.7256862257557
1,path,49,172.5350607245614,285.6760560196592
1,path,50,180.43580031236849,290.75510289753515
1,path,51,187.77220135818933,294.42330342044556
1,path,52,191.44040188109975,300.63102738229406
1,path,53,191.72257115209285,302.88838155023893
1,path,54,195.95511021698954,292.7302877944869
1,path,55,202.72717272082414,285.111717477673
1,path,56,208.65272741167948,278.9039935158245
1,path,57,217.682144083459,272.1319310119899
1,path,58,221.35034460636942,264.23119142418284
1,path,59,217.96431335445212,262.8203450692173
1,path,60,223.6076987743143,254.91960548141017
1,path,61,228.4045763811972,252.6622513134653
1,path,62,234.61230034304558,250.40489714552044
1,path,63,238.84483940794226,248.9940507905549
1,path,64,239.9735164919147,241.93981901572712
1,path,65,241.38436284688024,232.9104023439476
1,path,66,241.94870138886645,223.88098567216807
1,path,67,240.82002430489402,220.49495442025076
1,path,68,234.04796180105936,220.21278514925766
1,path,69,224.1720373163005,217.39109243932657
1,path,70,220.5038367933901,215.98024608436103
1,path,71,221.63251387736253,202.7182903476848
1,path,72,216.83563627047968,209.20818358052637
1,path,73,209.2170659536657,204.97564451562974
1,path,74,219.65732898041077,188.32765752703622
1,path,75,210.62791230863124,192.27802732093974
1,path,76,202.44500344983103,205.25781378662285
1,path,77,195.95511021698954,205.82215232860906
1,path,78,186.6435242742169,199.3322590957675
1,path,79,184.386170106272,188.32765752703622
1,path,80,191.44040188109975,188.04548825604311
1,path,81,196.80161802996886,189.45633461100866
1,path,82,198.77680292692062,180.99125648121534
1,path,83,202.72717272082414,176.4765481453256
1,path,84,209.7814044956519,167.7293007445392
1,path,85,215.98912845750036,164.34326949262189
1,path,86,219.93949825140388,159.8285611567321
1,path,87,226.99373002623165,155.59602209183547
1,path,88,232.0727769041076,156.4425299048148
1,path,89,232.0727769041076,160.67506896971142
1,path,90,236.5874852399974,154.46734500786303
1,path,91,238.84483940794226,146.28443614906283
1,path,92,242.79520920184578,133.868988225366
1,path,93,244.20605555681132,128.50777207649688
1,path,94,250.97811806064598,123.71089446961403
1,path,95,246.7455789957493,121.45354030166916
1,path,96,242.51303993085267,118.91401686273119
1,path,97,246.4634097247562,109.0380923779723
1,path,98,250.13161024766666,98.87999862222034
1,path,99,252.95330295759774,91.54359757639949
1,path,100,255.49282639653572,87.87539705348905
1,path,101,258.87885764845305,85.05370434355797
1,path,102,258.87885764845305,347.4711263671503
1,path,103,1.5404825027367224,345.49594147019855
1,path,104,-0.1525331232219287,147.41311323303526
